HS_CODE2,HS_code,MFN_Rate,Preferential_Rate(Agreement rate),Countries(abbreviated) for Preferential_Rate(Agreement rate),Preferential_Tariff_Rate(Special_Preferential_Tariff_Rate),,General_Tariff_Rate
"""1.01""",1.01,1.01,,,,,
"""101.21""",101.21,0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,0
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU ,RJP , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""101.29""",101.29,10,0,"AS,CL,NZ,PE,CR,CH,",0,LD,30
,,,,"IS,KR,AU,GE,MU,RAS ,",,,
,,,,"RAU ,RNZ ,KH,MV,HK,",,,
,,,,MO,,,
,,,2,PK,,,
,,,6,"KR ,RS",,,
,,,6.4,JP,,,
,,,8,NI,,,
,,,9,EC,,,
"""0101.3010""",0101.3010 -,0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,0
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU ,RJP R , KR , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""0101.3090""",0101.3090 -,10,0,"AS,CL,NZ,PE,CR,CH,",0,LD,30
,,,,"IS,KR, RAU,  GE,MU, AS ,",,,
,,,,"RAU ,RNZ ,KH,MV,HK,",,,
,,,,MO,,,
,,,2,PK,,,
,,,6,"KR ,RS",,,
,,,6.4,JP,,,
,,,8,NI,,,
,,,9,EC,,,
"""0101.9000""",0101.9000 - 10,10,0,"AS,CL,NZ,PE,CR,CH,",0,LD,30
,,,,"RIS,KR,AU,GE,MU, AS ,",,,
,,,,"RAU , NZ ,KH,MV,HK,",,,
,,,,MO,,,
,,,2,PK,,,
,,,6,"RKR ,RS",,,
,,,6.4,JP,,,
,,,8,NI,,,
,,,9,EC,,,
"""1.02""",1.02,1.02,,,,,
"""0102.2100""",0102.2100  0,0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,0
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU R , JP R , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""0102.2900""",0102.2900  10,10,0,"AS,CL,NZ,PE,CR,CH,",0,"LD,",30
,,,,"RIS,KR,AU,GE,MU, AS ,",,"KH,",
,,,,"RAU , NZ ,KH,EC,MV,",,"LA,",
,,,,"HK,MO",,MM,
,,,2,PK,,,
,,,6,"KR ,RS",,,
,,,6.4,JP,,,
,,,8,NI,,,
"""0102.3100""",0102.3100  0,0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,0
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU R , JP , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""0102.3900""",0102.3900  10,10,0,"AS,CL,NZ,PE,CR,CH,",0,"LD,",30
,,,,"RIS,KR,AU,GE,MU, AS ,",,"KH,",
,,,,"RAU , NZ ,KH,EC,MV,",,"LA,",
,,,,"HK,MO",,MM,
,,,2,PK,,,
,,,6,"KR ,RS",,,
,,,6.4,JP,,,
,,,8,NI,,,
"""0102.9010""",0102.9010 - 0,0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,0
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS , AU R , JP , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""0102.9090""",0102.9090 - 10,10,0,"AS,CL,NZ,PE,CR,CH,",0,"LD,",30
,,,,"IS, RKR,AU,GE,MU, AS ,",,"KH,",
,,,,"RAU ,RNZ ,KH,MV,HK,",,"LA,",
,,,,MO,,MM,
,,,2,PK,,,
,,,6,"KR ,RS",,,
,,,6.4,RJP,,,
,,,8,NI,,,
,,,9,EC,,,
"""1.03""",1.03,1.03,,,,,
"""0103.1000""",0103.1000 - 0,0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,0
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS , AU ,RJP ,RKR , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""1/2/1900""",1/2/1900  20000 AM,,,,,,
"""0103.9110""",0103.9110 -10 10,10,0,"AS,CL,NZ,PE,CR,CH,",0,"LD,",50
,,,,"IS,KR,AU,GE,MU,RAS ,",,"KH,",
,,,,"RAU R , NZ ,KH,MV,HK,",,MM,
,,,,MO,,,
,,,2,PK,,,
,,,6,"KR ,RS",,,
,,,6.4,JP,,,
,,,8,NI,,,
,,,9,EC,,,
"""0103.9120""","0103.9120 -10,50 10",10,0,"AS,CL,NZ,PE,CR,CH,",0,"LD,",50
,,,,"IS,KR, RAU,GE,MU, AS ,",,"KH,",
,,,,"RAU ,RNZ ,KH,MV,HK,",,MM,
,,,,MO,,,
,,,2,PK,,,
,,,6,"KR ,RS",,,
,,,6.4,JP,,,
,,,8,NI,,,
,,,9,EC,,,
"""0103.9200""",0103.9200 50 10,10,0,"AS,CL,NZ,PE,CR,CH,",0,"LD,",50
,,,,"RIS,KR,AU,GE,MU, AS ,",,"KH,",
,,,,"RAU R , NZ ,KH,MV,HK,",,"LA,",
,,,,MO,,MM,
,,,2,PK,,,
,,,6,"KR ,RS",,,
,,,6.4,JP,,,
,,,8,NI,,,
,,,9,EC,,,
"""1.04""",1.04,1.04,,,,,
"""0104.1010""",0104.1010 - 0,0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,0
